INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,LATITUDE,LONGITUDE
169180025,09/09/2017,18:35:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK,999888,193014,40.69645001,-73.94360674
169180024,09/09/2017,15:20:00,BROOKLYN,67,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK,997784,172132,40.63913704,-73.95123623
169180022,09/09/2017,0:20:00,BROOKLYN,61,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,ASIAN / PACIFIC ISLANDER,1001019,156467,40.59613434,-73.9396189
156603440,09/09/2016,20:58:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,<18,M,BLACK,1003592,176432,40.65092884,-73.93029673
146013532,09/09/2015,19:03:00,BROOKLYN,77,0,,TRUE,25-44,M,BLACK,18-24,M,BLACK,1001196,185003,40.67445925,-73.9389099
145992814,09/09/2015,11:54:00,BROOKLYN,70,0,MULTI DWELL - APT BUILD,FALSE,<18,M,WHITE HISPANIC,<18,M,WHITE HISPANIC,994904,167484,40.6263832,-73.96162067
138627598,09/09/2014,17:36:00,BROOKLYN,73,0,,FALSE,,,,18-24,M,BLACK,1006587,182075,40.66641058,-73.91948466
92525610,09/09/2013,5:26:00,BROOKLYN,75,0,MULTI DWELL - PUBLIC HOUS,TRUE,,,,18-24,M,BLACK,1015537,178639,40.65695242,-73.88723914
92507649,09/09/2013,4:35:00,BROOKLYN,79,0,,FALSE,,,,25-44,M,BLACK,995342,191876,40.69333333,-73.96000267
86651100,09/09/2012,15:47:00,BROOKLYN,77,0,,FALSE,,,,25-44,M,BLACK,998182,186167,40.67765942,-73.94977317
80655008,09/09/2011,13:32:00,BROOKLYN,67,0,,FALSE,,,,18-24,M,BLACK,996921,176967,40.65240935,-73.95433668
80653750,09/09/2011,0:25:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,FALSE,,,,18-24,M,BLACK,999809,172040,40.6388812,-73.94394003
74549231,09/09/2010,20:28:00,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK,1001974,191809,40.69313864,-73.93608725
74532192,09/09/2010,17:07:00,BROOKLYN,71,0,,FALSE,,,,<18,M,BLACK,1000151,180218,40.66132742,-73.94268848
74532192,09/09/2010,17:07:00,BROOKLYN,71,0,,TRUE,,,,<18,M,BLACK,1000151,180218,40.66132742,-73.94268848
74530911,09/09/2010,12:41:00,BROOKLYN,75,0,,FALSE,<18,M,BLACK,18-24,M,BLACK,1013511,181454,40.6646859,-73.89452887
74530911,09/09/2010,12:41:00,BROOKLYN,75,0,,FALSE,<18,M,BLACK,25-44,M,BLACK,1013511,181454,40.6646859,-73.89452887
65602676,09/09/2009,19:36:00,BROOKLYN,60,2,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,U,UNKNOWN,<18,M,BLACK,989392,155078,40.59233618,-73.98148696
51110050,09/09/2008,23:03:00,BROOKLYN,75,0,,FALSE,25-44,M,BLACK,18-24,M,BLACK,1018612,182165,40.66661911,-73.87613849
51110050,09/09/2008,23:03:00,BROOKLYN,75,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,1018612,182165,40.66661911,-73.87613849
51239107,09/09/2008,20:37:00,BROOKLYN,79,0,MULTI DWELL - APT BUILD,FALSE,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,997771,190216,40.68877364,-73.95124681
34286625,09/09/2007,3:57:00,BROOKLYN,75,0,,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,1017141,183798,40.67110691,-73.88143296
34286634,09/09/2007,18:20:00,BROOKLYN,83,0,,FALSE,UNKNOWN,M,BLACK,45-64,M,BLACK HISPANIC,1006965,193571,40.69796352,-73.91808336
34286624,09/09/2007,0:38:00,BROOKLYN,75,0,,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK,1017141,183798,40.67110691,-73.88143296
24236347,09/09/2006,23:17:00,BROOKLYN,81,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,1007115,188766,40.68477452,-73.91755872
24236346,09/09/2006,17:16:00,BROOKLYN,73,0,PVT HOUSE,FALSE,45-64,M,BLACK,25-44,M,BLACK,1007015,181056,40.66361256,-73.91794532
156552657,09/08/2016,19:58:00,BROOKLYN,84,0,,FALSE,,,,18-24,M,BLACK,988102,193303,40.69725623,-73.98610996
145953842,09/08/2015,2:17:00,BROOKLYN,79,0,,FALSE,,,,25-44,M,BLACK,1000869,189184,40.68593576,-73.94007844
145953843,09/08/2015,1:18:00,BROOKLYN,60,2,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,WHITE HISPANIC,25-44,M,BLACK,989722,155597,40.59376054,-73.98029833
145979696,09/08/2015,16:55:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK,1000712,193802,40.6986114,-73.94063325
138609255,09/08/2014,15:37:00,BROOKLYN,67,0,,FALSE,,,,18-24,M,BLACK,1001432,176596,40.65138344,-73.93808052
138609255,09/08/2014,15:37:00,BROOKLYN,67,0,,FALSE,,,,45-64,M,BLACK,1001432,176596,40.65138344,-73.93808052
92500638,09/08/2013,2:45:00,BROOKLYN,67,0,BAR/NIGHT CLUB,FALSE,25-44,M,BLACK,18-24,M,BLACK,1003469,171347,40.63697188,-73.93075449
92507604,09/08/2013,20:50:00,BROOKLYN,67,0,,FALSE,,,,18-24,M,BLACK,999390,172259,40.63948303,-73.94544926
86641728,09/08/2012,6:45:00,BROOKLYN,67,0,,TRUE,25-44,M,BLACK,25-44,M,BLACK,1004500,180655,40.66251802,-73.9270118
86641730,09/08/2012,2:56:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,TRUE,25-44,M,BLACK,18-24,M,BLACK,992297,188389,40.68376561,-73.97098738
80650776,09/08/2011,22:48:00,BROOKLYN,83,0,,FALSE,,,,18-24,F,BLACK,1007728,189504,40.68679855,-73.9153459
80650776,09/08/2011,22:48:00,BROOKLYN,83,0,,TRUE,,,,18-24,F,BLACK,1007728,189504,40.68679855,-73.9153459
80650776,09/08/2011,22:48:00,BROOKLYN,83,0,,FALSE,,,,18-24,M,BLACK,1007728,189504,40.68679855,-73.9153459
80650776,09/08/2011,22:48:00,BROOKLYN,83,0,,TRUE,,,,18-24,M,BLACK,1007728,189504,40.68679855,-73.9153459
80650776,09/08/2011,22:48:00,BROOKLYN,83,0,,FALSE,,,,<18,M,BLACK,1007728,189504,40.68679855,-73.9153459
80650776,09/08/2011,22:48:00,BROOKLYN,83,0,,TRUE,,,,<18,M,BLACK,1007728,189504,40.68679855,-73.9153459
80650778,09/08/2011,20:01:00,BROOKLYN,67,0,,FALSE,,,,18-24,M,BLACK,998165,174049,40.64439821,-73.94985947
74505513,09/08/2010,0:39:00,BROOKLYN,75,0,,TRUE,45-64,F,BLACK,45-64,F,BLACK,1017262,182567,40.66772764,-73.88100279
65544995,09/08/2009,21:17:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,25-44,M,BLACK,997769,185912,40.67696014,-73.95126265
51110045,09/08/2008,23:10:00,BROOKLYN,83,0,RESTAURANT/DINER,FALSE,25-44,M,BLACK,25-44,M,BLACK,1008603,191767,40.6930076,-73.9121827
34270248,09/08/2007,3:22:00,BROOKLYN,75,0,,FALSE,18-24,M,BLACK,25-44,F,BLACK,1012193,182072,40.66638643,-73.8992771
34270250,09/08/2007,21:45:00,BROOKLYN,79,0,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,U,UNKNOWN,18-24,F,WHITE HISPANIC,995619,190846,40.69050587,-73.95900552
34270246,09/08/2007,1:28:00,BROOKLYN,73,0,,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,1006760,182355,40.66717868,-73.91886013
34270247,09/08/2007,0:58:00,BROOKLYN,81,0,,TRUE,,,,25-44,M,BLACK,1005312,190540,40.68964821,-73.92405412
24224968,09/08/2006,15:15:00,BROOKLYN,75,0,,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK,1016380,176185,40.65021371,-73.88421255
24224968,09/08/2006,15:15:00,BROOKLYN,75,0,,FALSE,UNKNOWN,M,BLACK,25-44,F,BLACK,1016380,176185,40.65021371,-73.88421255
169103886,09/07/2017,19:07:00,BROOKLYN,69,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,<18,M,BLACK,1013655,177161,40.65290209,-73.89402854
156521267,09/07/2016,23:17:00,BROOKLYN,79,0,,FALSE,25-44,M,BLACK,45-64,M,BLACK,1001326,186947,40.67979484,-73.93843631
156521519,09/07/2016,22:48:00,BROOKLYN,67,0,,FALSE,,,,25-44,M,BLACK,1005435,180852,40.66305655,-73.92364105
156521266,09/07/2016,19:40:00,BROOKLYN,70,0,,TRUE,25-44,M,BLACK,25-44,M,BLACK,994576,177427,40.653675,-73.96278707
145938766,09/07/2015,4:25:00,BROOKLYN,71,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK,996122,181017,40.66352682,-73.95720905
145938766,09/07/2015,4:25:00,BROOKLYN,71,0,,FALSE,18-24,M,BLACK,45-64,M,WHITE,996122,181017,40.66352682,-73.95720905
145939402,09/07/2015,4:19:00,BROOKLYN,67,0,,FALSE,,,,25-44,M,BLACK,997815,176684,40.65163126,-73.95111538
145942389,09/07/2015,3:42:00,BROOKLYN,71,0,,TRUE,18-24,M,BLACK,25-44,M,BLACK,996148,181562,40.66502269,-73.95711437
145942389,09/07/2015,3:42:00,BROOKLYN,71,0,,TRUE,25-44,M,BLACK,25-44,M,BLACK,996148,181562,40.66502269,-73.95711437
138588533,09/07/2014,21:00:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,UNKNOWN,993758,196212,40.70523649,-73.9657086
